Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Scots pine ,PITA_000022712,MA_52379g0010,GO:0003677,AT2G40260.1,,Homeodomain-like superfamily protein,SHADE<SUN,36.80382714,0.089113557,0.286504941,0.311036719,0.755772707,0.945451463
Norway spruce,,MA_541418g0010,GO:0004497,AT5G09970.1,CYP78A7,cytochrome P450,,,,,,,
Scots pine ,PITA_000011912,MA_541418g0010,GO:0004497,AT5G09970.1,CYP78A7,cytochrome P450,,,,,,,
Norway spruce,,MA_54260g0010,,AT4G04630.1,,Protein of unknown function,,,,,,,
Scots pine ,PITA_000066558,MA_54260g0010,,AT4G04630.1,,Protein of unknown function,,,,,,,
Norway spruce,,MA_5464g0020,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000065529,MA_5464g0020,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_55138g0010,,AT4G29260.1,,HAD superfamily,,,,,,,
Scots pine ,PITA_000066602,MA_55138g0010,,AT4G29260.1,,HAD superfamily,,,,,,,
Norway spruce,,MA_55232g0010,GO:0005829,AT3G11980.1,FAR2,,,,,,,,
Scots pine ,PITA_000006414,MA_55232g0010,GO:0005829,AT3G11980.1,FAR2,,,,,,,,
Scots pine ,PITA_000079033,MA_55232g0010,GO:0005829,AT3G11980.1,FAR2,,,,,,,,
Scots pine ,PITA_000007837,MA_55232g0010,GO:0005829,AT3G11980.1,FAR2,,,,,,,,
Norway spruce,,MA_55307g0020,,AT5G52390.1,,PAR1 protein,SHADE<SUN,4328.502767,1.543333825,0.372583494,4.142249595,3.44E-05,0.001276495
Scots pine ,PITA_000087569,MA_55307g0020,,AT5G52390.1,,PAR1 protein,SHADE<SUN,0.219716797,0.193181083,0.612039862,0.315634806,0.752279716,0.94417394
Scots pine ,PITA_000056694,MA_55307g0020,,AT5G52390.1,,PAR1 protein,SHADE<SUN,0.708658824,0.582011088,0.801183539,0.726439148,0.467569599,0.820411643
Scots pine ,PITA_000085574,MA_55307g0020,,AT5G52390.1,,PAR1 protein,SHADE<SUN,269.9061588,0.585291494,0.854437123,0.685002417,0.493342396,0.835214343
Scots pine ,PITA_000039171,MA_55307g0020,,AT5G52390.1,,PAR1 protein,SHADE>SUN,0.267415013,-0.239596454,0.612039862,-0.391471976,0.695448399,0.928178004
Norway spruce,,MA_55437g0010,GO:0016020,AT5G53190.1,,Nodulin MtN3 family protein,SHADE<SUN,358.8506336,1.886572986,0.272835936,6.914679254,4.69E-12,8.99E-10
Scots pine ,PITA_000041839,MA_55437g0010,GO:0016020,AT5G53190.1,,Nodulin MtN3 family protein,SHADE>SUN,54.55666041,-0.250269846,0.310724588,-0.805439466,0.420566125,0.785299878
Norway spruce,,MA_554564g0010,,AT5G05440.1,PYL5,,,,,,,,
Scots pine ,PITA_000056384,MA_554564g0010,,AT5G05440.1,PYL5,,,,,,,,
Norway spruce,,MA_56269g0010,GO:0016740,AT1G65450.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,44.86051964,-2.344175431,0.376383266,-6.228160606,4.72E-10,6.56E-08
Scots pine ,PITA_000068970,MA_56269g0010,GO:0016740,AT1G65450.1,,HXXXD-type acyl-transferase family protein,SHADE<SUN,81.69165963,0.190829502,0.770301573,0.247733496,0.804340613,0.958583077
Scots pine ,PITA_000004001,MA_56269g0010,GO:0016740,AT1G65450.1,,HXXXD-type acyl-transferase family protein,SHADE<SUN,88.46447817,0.389180875,0.338376712,1.15014084,0.250085868,0.654824189
Scots pine ,PITA_000088690,MA_56269g0010,GO:0016740,AT1G65450.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,63.28911798,-0.562070707,0.474873122,-1.183622912,0.236562367,0.635712971
Scots pine ,PITA_000053918,MA_56269g0010,GO:0016740,AT1G65450.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,76.190005,-0.696860816,0.778884861,-0.89469041,0.370952607,0.745215916
Norway spruce,,MA_5629g0010,,AT4G24130.1,,Protein of unknown function,,,,,,,
Scots pine ,PITA_000081513,MA_5629g0010,,AT4G24130.1,,Protein of unknown function,,,,,,,
Scots pine ,PITA_000001213,MA_5629g0010,,AT4G24130.1,,Protein of unknown function,,,,,,,
Scots pine ,PITA_000088613,MA_5629g0010,,AT4G24130.1,,Protein of unknown function,,,,,,,
Norway spruce,,MA_56709g0010,GO:0000038,AT1G19440.1,KCS4,3-ketoacyl-CoA synthase 4,SHADE>SUN,121.7319527,-2.344852284,0.373125404,-6.284354422,3.29E-10,4.77E-08
Scots pine ,PITA_000061068,MA_56709g0010,GO:0000038,AT1G19440.1,KCS4,3-ketoacyl-CoA synthase 4,SHADE>SUN,99.46387381,-0.772735364,0.315859279,-2.446454531,0.014426899,0.103415678
Norway spruce,,MA_56912g0020,,AT4G26850.1,VTC2,mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase,SHADE<SUN,173.2706593,0.558977416,0.158741942,3.521296318,0.000429442,0.010015971
Scots pine ,PITA_000010336,MA_56912g0020,,AT4G26850.1,VTC2,mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase,SHADE<SUN,68.78043759,0.10087615,0.322351803,0.312938068,0.754327715,0.944786637
Scots pine ,PITA_000010334,MA_56912g0020,,AT4G26850.1,VTC2,mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase,SHADE<SUN,72.17793413,0.24765649,0.201878999,1.226757075,0.219913909,0.613170125
Norway spruce,,MA_57006g0010,GO:0004497,AT2G45510.1,CYP704A2,cytochrome P450,,,,,,,
Scots pine ,PITA_000066338,MA_57006g0010,GO:0004497,AT2G45510.1,CYP704A2,cytochrome P450,,,,,,,
Scots pine ,PITA_000060916,MA_57006g0010,GO:0004497,AT2G45510.1,CYP704A2,cytochrome P450,,,,,,,
Norway spruce,,MA_57869g0010,,AT5G10480.3,PAS2,,,,,,,,
Scots pine ,PITA_000018206,MA_57869g0010,,AT5G10480.3,PAS2,,,,,,,,
Norway spruce,,MA_580238g0010,GO:0016020,AT4G18220.1,,Drug/metabolite transporter superfamily protein,SHADE>SUN,46.15144258,-0.982984257,0.284948113,-3.44969562,0.000561219,0.012339072
Scots pine ,PITA_000076465,MA_580238g0010,GO:0016020,AT4G18220.1,,Drug/metabolite transporter superfamily protein,SHADE<SUN,205.0794961,0.153736683,0.65082543,0.236218003,0.81326351,0.961994616
Scots pine ,PITA_000058891,MA_580238g0010,GO:0016020,AT4G18220.1,,Drug/metabolite transporter superfamily protein,SHADE<SUN,295.6866227,0.286338536,0.749477399,0.382050928,0.702423589,0.930338722
Norway spruce,,MA_5818965g0010,,AT1G27180.1,,disease resistance protein (TIR-NBS-LRR class),,,,,,,
Scots pine ,PITA_000052241,MA_5818965g0010,,AT1G27180.1,,disease resistance protein (TIR-NBS-LRR class),,,,,,,
Norway spruce,,MA_58518g0010,,AT3G09140.2,,Protein of unknown function (DUF674),SHADE<SUN,497.5555096,2.363572929,0.640472284,3.690359422,0.000223937,0.005953746
Scots pine ,PITA_000020774,MA_58518g0010,,AT3G09140.2,,Protein of unknown function (DUF674),SHADE<SUN,350.7114673,0.681689621,0.449482239,1.516610806,0.129364975,0.458037435
Norway spruce,,MA_58851g0010,GO:0005739,AT3G10260.3,,Reticulon family protein,SHADE>SUN,91.0520455,-0.790054933,0.210075465,-3.760814876,0.000169361,0.004756109
Scots pine ,PITA_000025958,MA_58851g0010,GO:0005739,AT3G10260.3,,Reticulon family protein,SHADE>SUN,41.78997185,-0.245466071,0.277427107,-0.884794834,0.376267296,0.749563813
Norway spruce,,MA_5971026g0020,GO:0016788,AT3G09930.1,,GDSL-like Lipase/Acylhydrolase superfamily protein,SHADE<SUN,1067.204182,1.818084306,0.174192365,10.43722155,1.68E-25,1.83E-22
Scots pine ,PITA_000066023,MA_5971026g0020,GO:0016788,AT3G09930.1,,GDSL-like Lipase/Acylhydrolase superfamily protein,SHADE<SUN,110.8417114,0.420365378,0.352113184,1.19383595,0.232542146,0.630811079
Scots pine ,PITA_000073607,MA_5971026g0020,GO:0016788,AT3G09930.1,,GDSL-like Lipase/Acylhydrolase superfamily protein,SHADE<SUN,168.9113669,1.030344015,0.328017091,3.141129054,0.001682979,0.018977106
Norway spruce,,MA_601245g0010,GO:0005488,AT5G03740.1,HD2C,,,,,,,,
Scots pine ,PITA_000078534,MA_601245g0010,GO:0005488,AT5G03740.1,HD2C,,,,,,,,
Scots pine ,PITA_000041330,MA_601245g0010,GO:0005488,AT5G03740.1,HD2C,,,,,,,,
Scots pine ,PITA_000053265,MA_601245g0010,GO:0005488,AT5G03740.1,HD2C,,,,,,,,
Norway spruce,,MA_61158g0010,GO:0004601,AT3G52960.1,,Thioredoxin superfamily protein,SHADE<SUN,239.7239547,0.796254515,0.196932635,4.04328371,5.27E-05,0.001823945
Scots pine ,PITA_000051016,MA_61158g0010,GO:0004601,AT3G52960.1,,Thioredoxin superfamily protein,SHADE<SUN,78.78223252,0.141967067,0.170539124,0.832460398,0.405149122,0.772278892
Scots pine ,PITA_000074337,MA_61158g0010,GO:0004601,AT3G52960.1,,Thioredoxin superfamily protein,SHADE<SUN,541.4586326,0.79403662,0.35974292,2.207233486,0.027297751,0.166123671
Norway spruce,,MA_61217g0010,GO:0005506,AT3G10520.1,AHB2,,,,,,,,
Scots pine ,PITA_000012274,MA_61217g0010,GO:0005506,AT3G10520.1,AHB2,,,,,,,,
Norway spruce,,MA_613919g0010,GO:0016491,AT1G30760.1,,FAD-binding Berberine family protein,SHADE>SUN,27.79592727,-2.245834866,0.387489764,-5.795855979,6.80E-09,7.28E-07
Scots pine ,PITA_000071490,MA_613919g0010,GO:0016491,AT1G30760.1,,FAD-binding Berberine family protein,SHADE<SUN,26.61313431,1.915743249,0.780960149,2.453061467,0.014164613,0.10194193
Norway spruce,,MA_6221g0010,GO:0003824,AT5G10020.1,,Leucine-rich receptor-like protein kinase family protein,SHADE>SUN,67.72230901,-1.131880689,0.271488523,-4.169165886,3.06E-05,0.001158245
Scots pine ,PITA_000091131,MA_6221g0010,GO:0003824,AT5G10020.1,,Leucine-rich receptor-like protein kinase family protein,SHADE>SUN,165.1116673,-0.041150351,0.854968013,-0.048130866,0.961611947,0.994194037
Scots pine ,PITA_000031445,MA_6221g0010,GO:0003824,AT5G10020.1,,Leucine-rich receptor-like protein kinase family protein,SHADE>SUN,118.2320137,-0.88244807,0.273515319,-3.226320464,0.001253929,0.014875855
Norway spruce,,MA_6300g0010,,AT1G22160.1,,Protein of unknown function (DUF581),SHADE<SUN,695.0791717,1.732984145,0.316950075,5.467688076,4.56E-08,4.03E-06
Scots pine ,PITA_000003225,MA_6300g0010,,AT1G22160.1,,Protein of unknown function (DUF581),SHADE<SUN,134.7075974,0.609085456,0.255584465,2.383108288,0.017167144,0.118001249
Norway spruce,,MA_63700g0010,,AT3G19950.1,,RING/U-box superfamily protein,SHADE>SUN,33.62705081,-1.968263256,0.562119614,-3.501502542,0.000462643,0.01058911
Scots pine ,PITA_000013647,MA_63700g0010,,AT3G19950.1,,RING/U-box superfamily protein,SHADE<SUN,85.59827873,0.769937249,0.712211665,1.081051163,0.279674356,0.689725637
Norway spruce,,MA_640601g0010,GO:0016798,AT1G10640.1,,Pectin lyase-like superfamily protein,SHADE>SUN,128.5110075,-2.626776336,0.302070404,-8.69590765,3.44E-18,1.64E-15
Scots pine ,PITA_000034297,MA_640601g0010,GO:0016798,AT1G10640.1,,Pectin lyase-like superfamily protein,SHADE>SUN,121.446235,-0.191399514,0.307076949,-0.623294956,0.533090712,0.861219397
Norway spruce,,MA_64432g0010,GO:0000166,AT5G02370.1,,ATP binding microtubule motor family protein,SHADE<SUN,478.7845155,0.734464067,0.166407281,4.413653424,1.02E-05,0.000463674
Scots pine ,PITA_000041344,MA_64432g0010,GO:0000166,AT5G02370.1,,ATP binding microtubule motor family protein,SHADE>SUN,204.1272833,-0.384696961,0.185240899,-2.076738789,0.037825674,0.208535649
Norway spruce,,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE<SUN,156.8825121,1.360597761,0.393840898,3.454688854,0.000550928,0.012158057
Scots pine ,PITA_000035475,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE<SUN,405.7365961,0.051330578,0.460637811,0.111433705,0.911272434,0.985865856
Scots pine ,PITA_000053318,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE<SUN,348.8885662,1.097731983,0.560699586,1.957789892,0.050254672,0.254666279
Scots pine ,PITA_000005236,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE>SUN,106.2363235,-0.04269184,0.435956233,-0.097926894,0.921990344,0.987338785
Scots pine ,PITA_000079817,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE>SUN,79.54771337,-0.270885983,0.37954153,-0.713718951,0.475400986,0.825305364
Scots pine ,PITA_000046416,MA_64641g0010,,AT3G02645.1,,Plant protein of unknown function (DUF247),SHADE>SUN,30.65734216,-2.022189237,0.790691544,-2.557494453,0.010542924,0.081760466
Norway spruce,,MA_65113g0010,,AT5G19140.2,AILP1,,,,,,,,
Scots pine ,PITA_000044658,MA_65113g0010,,AT5G19140.2,AILP1,,,,,,,,
Norway spruce,,MA_65293g0010,GO:0004842,AT4G23860.3,,PHD finger protein-related,SHADE<SUN,286.4405261,0.826938461,0.217067186,3.809596819,0.000139194,0.004076349
Scots pine ,PITA_000047771,MA_65293g0010,GO:0004842,AT4G23860.3,,PHD finger protein-related,SHADE>SUN,203.2009671,-0.103363291,0.239928331,-0.430809028,0.666607235,0.918288683
Norway spruce,,MA_653417g0010,,AT4G13650.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,425.3371345,1.100872715,0.267548574,4.114664851,3.88E-05,0.001411341
Scots pine ,PITA_000028215,MA_653417g0010,,AT4G13650.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,155.5175278,0.731940585,0.415796109,1.760335339,0.078350966,0.338520826
Scots pine ,PITA_000007681,MA_653417g0010,,AT4G13650.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,94.19332006,0.77340747,0.3628625,2.131406443,0.033055673,0.190211621
Scots pine ,PITA_000035725,MA_653417g0010,,AT4G13650.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,237.4016478,1.051791853,0.472623882,2.225431031,0.026052316,0.160525323
Norway spruce,,MA_65862g0010,,AT4G18750.1,DOT4,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,174.3458659,1.029955527,0.259921764,3.962559777,7.42E-05,0.002420378
Scots pine ,PITA_000001821,MA_65862g0010,,AT4G18750.1,DOT4,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,83.69168822,0.286118056,0.361918754,0.790558801,0.429201496,0.791811116
Norway spruce,,MA_662135g0010,GO:0004674,AT2G31880.1,EVR,,,,,,,,
Scots pine ,PITA_000042937,MA_662135g0010,GO:0004674,AT2G31880.1,EVR,,,,,,,,
Norway spruce,,MA_66499g0010,,AT2G22070.1,,pentatricopeptide (PPR) repeat-containing protein,SHADE<SUN,236.3283758,0.868977822,0.230311088,3.773061163,0.000161257,0.004588169
Scots pine ,PITA_000074558,MA_66499g0010,,AT2G22070.1,,pentatricopeptide (PPR) repeat-containing protein,SHADE<SUN,101.888045,0.966762607,0.402298512,2.403097644,0.016256846,0.113150654
Norway spruce,,MA_66969g0010,,AT4G39780.1,,Integrase-type DNA-binding superfamily protein,SHADE>SUN,42.26667934,-1.098937024,0.320799708,-3.425617283,0.000613404,0.013249936
Scots pine ,PITA_000003889,MA_66969g0010,,AT4G39780.1,,Integrase-type DNA-binding superfamily protein,SHADE<SUN,69.7150661,0.315769204,0.189867881,1.663099636,0.096292493,0.3855137
Scots pine ,PITA_000074269,MA_66969g0010,,AT4G39780.1,,Integrase-type DNA-binding superfamily protein,SHADE>SUN,126.753988,-0.309688278,0.28447614,-1.088626545,0.276318606,0.685446209
Scots pine ,PITA_000024474,MA_66969g0010,,AT4G39780.1,,Integrase-type DNA-binding superfamily protein,SHADE>SUN,56.3685122,-0.483879379,0.515481114,-0.93869468,0.347887526,0.730295799
Scots pine ,PITA_000081811,MA_66969g0010,,AT4G39780.1,,Integrase-type DNA-binding superfamily protein,SHADE>SUN,80.53296899,-0.609694182,0.650590306,-0.937139974,0.348686561,0.730295799
Norway spruce,,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000008446,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000030592,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000086163,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000096486,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000008448,MA_6712g0010,GO:0004620,AT3G15730.1,PLD,,,,,,,,
Norway spruce,,MA_681548g0010,GO:0016491,AT5G19200.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,79.32374282,-1.466345719,0.303452861,-4.832202648,1.35E-06,8.18E-05
Scots pine ,PITA_000029965,MA_681548g0010,GO:0016491,AT5G19200.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,53.05486822,-0.956568363,0.627997396,-1.523204347,0.127707589,0.455002283
Norway spruce,,MA_686524g0010,GO:0006355,AT1G72210.1,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE>SUN,125.6413817,-1.433104194,0.255348472,-5.612346849,2.00E-08,1.92E-06
Scots pine ,PITA_000054850,MA_686524g0010,GO:0006355,AT1G72210.1,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE<SUN,54.27796181,0.705579044,0.747476895,0.943947631,0.34519641,0.730295799
Scots pine ,PITA_000085047,MA_686524g0010,GO:0006355,AT1G72210.1,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE<SUN,84.23430979,1.210038055,0.557842129,2.169140679,0.030072005,0.177970539
Norway spruce,,MA_689129g0010,GO:0005887,AT1G21460.1,,Nodulin MtN3 family protein,SHADE<SUN,1159.227599,1.308831339,0.245064231,5.340768548,9.26E-08,7.61E-06
Scots pine ,PITA_000018729,MA_689129g0010,GO:0005887,AT1G21460.1,,Nodulin MtN3 family protein,SHADE>SUN,326.5620488,-0.233367865,0.377674943,-0.617906667,0.536636864,0.863429643
Scots pine ,PITA_000081392,MA_689129g0010,GO:0005887,AT1G21460.1,,Nodulin MtN3 family protein,SHADE>SUN,134.4863341,-0.362205698,0.401957738,-0.901103933,0.367533062,0.741856068
Norway spruce,,MA_69027g0010,GO:0004252,AT5G23140.1,CLPP2,,,,,,,,
Scots pine ,PITA_000085127,MA_69027g0010,GO:0004252,AT5G23140.1,CLPP2,,,,,,,,
Scots pine ,PITA_000029446,MA_69027g0010,GO:0004252,AT5G23140.1,CLPP2,,,,,,,,
Norway spruce,,MA_69152g0010,,AT3G53700.1,MEE40,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,541.3669379,0.530656653,0.152120903,3.488387476,0.000485943,0.011016617
Scots pine ,PITA_000076178,MA_69152g0010,,AT3G53700.1,MEE40,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,138.4290769,0.339159428,0.27986724,1.211858266,0.22556664,0.621196634
Norway spruce,,MA_69480g0010,GO:0000166,AT1G17840.1,ABCG11,,,,,,,,
Scots pine ,PITA_000072225,MA_69480g0010,GO:0000166,AT1G17840.1,ABCG11,,,,,,,,
Scots pine ,PITA_000069114,MA_69480g0010,GO:0000166,AT1G17840.1,ABCG11,,,,,,,,
Norway spruce,,MA_7188g0010,GO:0005199,AT4G13340.1,,Leucine-rich repeat (LRR) family protein,SHADE>SUN,29.86766322,-1.553735422,0.383690002,-4.049455066,5.13E-05,0.001791183
Scots pine ,PITA_000060503,MA_7188g0010,GO:0005199,AT4G13340.1,,Leucine-rich repeat (LRR) family protein,SHADE>SUN,58.58381444,-0.525227867,0.237434697,-2.212093994,0.026960171,0.164450004
Norway spruce,,MA_72644g0010,GO:0005351,AT4G02050.1,STP7,sugar transporter protein 7,SHADE<SUN,118.6518377,1.55690667,0.368241834,4.227946217,2.36E-05,0.000933912
Scots pine ,PITA_000065819,MA_72644g0010,GO:0005351,AT4G02050.1,STP7,sugar transporter protein 7,SHADE<SUN,127.1273511,0.254818573,0.769977988,0.330942672,0.740687789,0.940254204
Norway spruce,,MA_7286g0010,GO:0008898,AT3G25900.1,ATHMT-1,,,,,,,,
Scots pine ,PITA_000029306,MA_7286g0010,GO:0008898,AT3G25900.1,ATHMT-1,,,,,,,,
Norway spruce,,MA_7289g0010,GO:0000156,AT1G10470.1,ARR4,,,,,,,,
Scots pine ,PITA_000005270,MA_7289g0010,GO:0000156,AT1G10470.1,ARR4,,,,,,,,
Norway spruce,,MA_73031g0010,GO:0005634,AT5G38110.1,ASF1B,,,,,,,,
Scots pine ,PITA_000054645,MA_73031g0010,GO:0005634,AT5G38110.1,ASF1B,,,,,,,,
Norway spruce,,MA_73048g0010,,AT5G15780.1,,Pollen Ole e 1 allergen and extensin family protein,SHADE<SUN,5724.5477,1.930808352,0.354766392,5.442478194,5.25E-08,4.57E-06
Scots pine ,PITA_000016158,MA_73048g0010,,AT5G15780.1,,Pollen Ole e 1 allergen and extensin family protein,SHADE<SUN,949.4574737,0.012580551,0.622224362,0.020218674,0.983868931,0.997049289
Scots pine ,PITA_000091617,MA_73048g0010,,AT5G15780.1,,Pollen Ole e 1 allergen and extensin family protein,SHADE<SUN,276.1528801,0.262217831,0.32357104,0.810387205,0.417717669,0.782681426
Scots pine ,PITA_000026020,MA_73048g0010,,AT5G15780.1,,Pollen Ole e 1 allergen and extensin family protein,SHADE<SUN,231.4654737,0.431757811,0.1445339,2.987242506,0.002815063,0.029046822
Norway spruce,,MA_75685g0010,,AT1G19715.2,,Mannose-binding lectin superfamily protein,SHADE<SUN,682.2953605,2.043165095,0.383318321,5.330204639,9.81E-08,7.98E-06
Scots pine ,PITA_000076764,MA_75685g0010,,AT1G19715.2,,Mannose-binding lectin superfamily protein,SHADE<SUN,12.44753696,0.011683384,0.809963077,0.014424588,0.988491243,0.99738087
Norway spruce,,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,48.39588548,-1.898988754,0.36197062,-5.246251069,1.55E-07,1.20E-05
Scots pine ,PITA_000063261,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE<SUN,47.3212404,0.076903804,0.650482605,0.118225765,0.905888775,0.985452396
Scots pine ,PITA_000044507,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE<SUN,98.57781451,0.14270295,0.76551176,0.186415099,0.852119253,0.971371609
Scots pine ,PITA_000042778,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE<SUN,139.2617223,1.097492285,0.803925752,1.365166227,0.172200811,0.539379002
Scots pine ,PITA_000031210,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,39.20539224,-0.230241571,0.857031064,-0.268650205,0.788198874,0.954676358
Scots pine ,PITA_000051984,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,137.2225918,-0.372144047,0.738720667,-0.50376829,0.614424213,0.898529605
Scots pine ,PITA_000092161,MA_76027g0010,GO:0016301,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,130.8974986,-0.503856468,0.621049728,-0.811298106,0.417194498,0.782255118
Norway spruce,,MA_76199g0010,,AT1G01580.1,ATFRO2,,,,,,,,
Scots pine ,PITA_000056730,MA_76199g0010,,AT1G01580.1,ATFRO2,,,,,,,,
Norway spruce,,MA_76307g0010,,AT3G22600.1,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,SHADE>SUN,20.50978299,-1.843471219,0.473048827,-3.896999876,9.74E-05,0.003053867
Scots pine ,PITA_000000869,MA_76307g0010,,AT3G22600.1,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,SHADE>SUN,58.79298389,-0.053420813,0.805478593,-0.066321828,0.947121605,0.991210783
Norway spruce,,MA_7706481g0010,,AT5G45050.2,ATWRKY16,,,,,,,,
Scots pine ,PITA_000000826,MA_7706481g0010,,AT5G45050.2,ATWRKY16,,,,,,,,
Norway spruce,,MA_78005g0010,GO:0005886,AT3G10600.1,CAT7,cationic amino acid transporter 7,SHADE>SUN,36.40002968,-1.237745651,0.35165511,-3.519771548,0.000431919,0.010055493
Scots pine ,PITA_000050673,MA_78005g0010,GO:0005886,AT3G10600.1,CAT7,cationic amino acid transporter 7,SHADE>SUN,414.3615689,-0.139051769,0.650877579,-0.213637362,0.830829861,0.965908155
Scots pine ,PITA_000054734,MA_78005g0010,GO:0005886,AT3G10600.1,CAT7,cationic amino acid transporter 7,SHADE>SUN,53.37973747,-0.499122836,0.524503521,-0.951610076,0.341294769,0.730295799
Norway spruce,,MA_78306g0010,GO:0009941,AT5G16010.1,,3-oxo-5-alpha-steroid 4-dehydrogenase family protein,SHADE>SUN,67.15641431,-0.813840813,0.229365734,-3.54822317,0.000387839,0.009254082
Scots pine ,PITA_000088282,MA_78306g0010,GO:0009941,AT5G16010.1,,3-oxo-5-alpha-steroid 4-dehydrogenase family protein,SHADE<SUN,211.5685313,0.195924696,0.562064759,0.348580289,0.727404428,0.936416727
Scots pine ,PITA_000027943,MA_78306g0010,GO:0009941,AT5G16010.1,,3-oxo-5-alpha-steroid 4-dehydrogenase family protein,SHADE<SUN,1482.043766,0.495885408,0.382015711,1.298075953,0.194261237,0.57621264
Norway spruce,,MA_783585g0010,,AT2G32300.1,UCC1,uclacyanin 1,SHADE>SUN,132.9387407,-1.691676783,0.415131582,-4.075037549,4.60E-05,0.001632792
Scots pine ,PITA_000062306,MA_783585g0010,,AT2G32300.1,UCC1,uclacyanin 1,SHADE<SUN,153.336955,0.92509774,0.424906336,2.177180384,0.029467111,0.175632296
Scots pine ,PITA_000042047,MA_783585g0010,,AT2G32300.1,UCC1,uclacyanin 1,SHADE>SUN,242.4283822,-0.063285301,0.807463508,-0.078375432,0.937529416,0.988854027
Norway spruce,,MA_78381g0010,GO:0003700,AT4G37790.1,HAT22,Homeobox-leucine zipper protein family,SHADE>SUN,31.53988257,-1.241866463,0.329296671,-3.771269408,0.000162419,0.004617521
Scots pine ,PITA_000062525,MA_78381g0010,GO:0003700,AT4G37790.1,HAT22,Homeobox-leucine zipper protein family,SHADE<SUN,32.35966481,0.096391811,0.47201681,0.204212665,0.838187315,0.96788066
Norway spruce,,MA_78511g0010,,AT3G04090.1,SIP1;1,,,,,,,,
Scots pine ,PITA_000001154,MA_78511g0010,,AT3G04090.1,SIP1;1,,,,,,,,
